study_name,community_name,trait_name,environment_name,cor_respdiv,deriv_nss_respdiv,deriv_ss_respdiv,cv,cov,cor,eve,var,total_biomass,composition,environment_values
Leary and Petchey 2009,community-1,carrying capacity,temperature,0.5185490948253073,1.032673591909526,0,0.4633952543057386,4.104023101930036e-4,0.7152403088748726,0.7642406787950846,0.00248557437009026,0.06204327850910347,colpidium-loxocephallus,18-20-22
Leary and Petchey 2009,community-1,intrinsic growth rate,temperature,-0.3590885162159697,1.0855917557319432,0.445852069359382,0.4633952543057386,4.104023101930036e-4,0.7152403088748726,0.7642406787950846,0.00248557437009026,0.06204327850910347,colpidium-loxocephallus,18-20-22
Leary and Petchey 2009,community-10,carrying capacity,temperature,-0.12811897045647677,1.0337499081276196,0.09247253197731004,0.35653953239662783,1.2777967133705613e-5,0.18853748152993804,0.7249705985039123,4.413171892838285e-4,0.03030133414573696,loxocephallus-paramecium,18-20-22
Leary and Petchey 2009,community-10,intrinsic growth rate,temperature,0.967991923669684,1.049786801883474,0,0.35653953239662783,1.2777967133705613e-5,0.18853748152993804,0.7249705985039123,4.413171892838285e-4,0.03030133414573696,loxocephallus-paramecium,18-20-22
Leary and Petchey 2009,community-11,carrying capacity,temperature,-0.45670874274206696,1.0321328013708795,0.10466271548725302,0.39328301007816824,5.774006895096576e-6,0.07439575764783103,0.5905860591736013,5.875649213346455e-4,0.03111853673705491,loxocephallus-tetrahymena,18-20-22
Leary and Petchey 2009,community-11,intrinsic growth rate,temperature,0.9999587946256329,1.0817106104960903,0,0.39328301007816824,5.774006895096576e-6,0.07439575764783103,0.5905860591736013,5.875649213346455e-4,0.03111853673705491,loxocephallus-tetrahymena,18-20-22
Leary and Petchey 2009,community-12,carrying capacity,temperature,0.9407978328822783,1.0018867107061598,0,0.2383384725595159,-1.136203862706529e-6,-0.27100206286609496,0.5301629021387357,2.392695335897835e-5,0.00976226045531349,paramecium-tetrahymena,18-20-22
Leary and Petchey 2009,community-12,intrinsic growth rate,temperature,0.965673642828944,1.060417565875989,0,0.2383384725595159,-1.136203862706529e-6,-0.27100206286609496,0.5301629021387357,2.392695335897835e-5,0.00976226045531349,paramecium-tetrahymena,18-20-22
Leary and Petchey 2009,community-13,carrying capacity,temperature,0.5185490948253073,1.032673591909526,0,0.47191153428290605,5.772398739224758e-4,0.7354523197376518,0.7468285419908965,0.00321404209483006,0.0700287973140917,colpidium-loxocephallus,18-20-22
Leary and Petchey 2009,community-13,intrinsic growth rate,temperature,-0.3590885162159697,1.0855917557319432,0.445852069359382,0.47191153428290605,5.772398739224758e-4,0.7354523197376518,0.7468285419908965,0.00321404209483006,0.0700287973140917,colpidium-loxocephallus,18-20-22
Leary and Petchey 2009,community-15,carrying capacity,temperature,0.5238385871929372,1.0550047464693777,0.021193388960087003,0.5016406164787701,-2.943411754604687e-5,-0.5508452901016202,0.5089372121698662,0.00389801691115296,0.06175822095805551,colpidium-tetrahymena,18-20-22
Leary and Petchey 2009,community-15,intrinsic growth rate,temperature,-0.35060124370500684,1.1433422135783287,0.497154415139569,0.5016406164787701,-2.943411754604687e-5,-0.5508452901016202,0.5089372121698662,0.00389801691115296,0.06175822095805551,colpidium-tetrahymena,18-20-22
Leary and Petchey 2009,community-16,carrying capacity,temperature,-0.12811897045647677,1.0337499081276196,0.09247253197731004,0.3266814058240876,3.4100211802311525e-6,0.05446776282345517,0.8561064713848504,2.1957131848801065e-4,0.02302902299930987,loxocephallus-paramecium,18-20-22
Leary and Petchey 2009,community-16,intrinsic growth rate,temperature,0.967991923669684,1.049786801883474,0,0.3266814058240876,3.4100211802311525e-6,0.05446776282345517,0.8561064713848504,2.1957131848801065e-4,0.02302902299930987,loxocephallus-paramecium,18-20-22
Leary and Petchey 2009,community-17,carrying capacity,temperature,-0.45670874274206696,1.0321328013708795,0.10466271548725302,0.433347120918924,8.343702706495422e-6,0.17735980782919794,0.6302431396259561,3.841438089827668e-4,0.02310015298250707,loxocephallus-tetrahymena,18-20-22
Leary and Petchey 2009,community-17,intrinsic growth rate,temperature,0.9999587946256329,1.0817106104960903,0,0.433347120918924,8.343702706495422e-6,0.17735980782919794,0.6302431396259561,3.841438089827668e-4,0.02310015298250707,loxocephallus-tetrahymena,18-20-22
Leary and Petchey 2009,community-18,carrying capacity,temperature,0.9407978328822783,1.0018867107061598,0,0.3144409318464043,6.027999618664759e-7,0.07063437343643517,0.5436766980302757,2.5929951903716877e-5,0.00828324026195588,paramecium-tetrahymena,18-20-22
Leary and Petchey 2009,community-18,intrinsic growth rate,temperature,0.965673642828944,1.060417565875989,0,0.3144409318464043,6.027999618664759e-7,0.07063437343643517,0.5436766980302757,2.5929951903716877e-5,0.00828324026195588,paramecium-tetrahymena,18-20-22
Leary and Petchey 2009,community-19,carrying capacity,temperature,0.9048845938621279,1.1158042472121186,0,0.503073329315476,5.304266343104574e-5,0.1861281720912491,0.786307357030306,0.00173662727889361,0.04266458387529241,colpidium-loxocephallus,20-22-24
Leary and Petchey 2009,community-19,intrinsic growth rate,temperature,-0.8138561328268642,1.1237168463820946,0.3656298856580846,0.503073329315476,5.304266343104574e-5,0.1861281720912491,0.786307357030306,0.00173662727889361,0.04266458387529241,colpidium-loxocephallus,20-22-24
Leary and Petchey 2009,community-21,carrying capacity,temperature,-0.29248800464767194,1.1401981007370305,0.027664009103343826,0.3538894968072703,-1.780880803797811e-5,-0.5191190263324741,0.5063398055497859,0.00168573215440169,0.05739305946421603,colpidium-tetrahymena,20-22-24
Leary and Petchey 2009,community-21,intrinsic growth rate,temperature,-0.5515949903336396,1.1685273376099836,0.2855835684459627,0.3538894968072703,-1.780880803797811e-5,-0.5191190263324741,0.5063398055497859,0.00168573215440169,0.05739305946421603,colpidium-tetrahymena,20-22-24
Leary and Petchey 2009,community-22,carrying capacity,temperature,0.9573274549349936,1.0270987018677753,0.20663193752543693,0.726992318655593,1.359267493696707e-4,0.31041945513884517,0.8664512129500811,0.00107094284641366,0.02520259482345458,loxocephallus-paramecium,20-22-24
Leary and Petchey 2009,community-22,intrinsic growth rate,temperature,0.9983363198456501,1.0625422958576811,0,0.726992318655593,1.359267493696707e-4,0.31041945513884517,0.8664512129500811,0.00107094284641366,0.02520259482345458,loxocephallus-paramecium,20-22-24
Leary and Petchey 2009,community-23,carrying capacity,temperature,-0.6717105535849622,1.025315416885786,0.16299361573800483,0.3945030626056943,1.5546033532293465e-5,0.33036930517969365,0.6108834051420686,3.4505721097038186e-4,0.02458101102309792,loxocephallus-tetrahymena,20-22-24
Leary and Petchey 2009,community-23,intrinsic growth rate,temperature,0.9335934951532222,1.0951495564724967,0.25132501183091865,0.3945030626056943,1.5546033532293465e-5,0.33036930517969365,0.6108834051420686,3.4505721097038186e-4,0.02458101102309792,loxocephallus-tetrahymena,20-22-24
Leary and Petchey 2009,community-24,carrying capacity,temperature,-0.4289477669543608,1.0020513060502625,0,0.48461011014934097,2.5730140768653255e-6,0.1031496538856544,0.5390789460010654,1.9618523833842076e-4,0.01463973268441847,paramecium-tetrahymena,20-22-24
Leary and Petchey 2009,community-24,intrinsic growth rate,temperature,0.9113790196443845,1.0863405299373046,0.1203769117421642,0.48461011014934097,2.5730140768653255e-6,0.1031496538856544,0.5390789460010654,1.9618523833842076e-4,0.01463973268441847,paramecium-tetrahymena,20-22-24
Leary and Petchey 2009,community-25,carrying capacity,temperature,0.9048845938621279,1.1158042472121186,0,0.3632290725518681,3.361843285856308e-4,0.5920511886402152,0.8186876713173158,0.00154833600349475,0.06486864174727734,colpidium-loxocephallus,20-22-24
Leary and Petchey 2009,community-25,intrinsic growth rate,temperature,-0.8138561328268642,1.1237168463820946,0.3656298856580846,0.3632290725518681,3.361843285856308e-4,0.5920511886402152,0.8186876713173158,0.00154833600349475,0.06486864174727734,colpidium-loxocephallus,20-22-24
Leary and Petchey 2009,community-27,carrying capacity,temperature,-0.29248800464767194,1.1401981007370305,0.027664009103343826,0.4274816826772593,-7.036570691921314e-5,-0.6406316511666522,0.5154793708453225,0.00369645060654219,0.06974550482485598,colpidium-tetrahymena,20-22-24
Leary and Petchey 2009,community-27,intrinsic growth rate,temperature,-0.5515949903336396,1.1685273376099836,0.2855835684459627,0.4274816826772593,-7.036570691921314e-5,-0.6406316511666522,0.5154793708453225,0.00369645060654219,0.06974550482485598,colpidium-tetrahymena,20-22-24
Leary and Petchey 2009,community-28,carrying capacity,temperature,0.9573274549349936,1.0270987018677753,0.20663193752543693,0.19672581412513368,-3.34754697145969e-5,-0.4013650996974168,0.8574130213498914,1.6707496116390776e-4,0.02543184078244161,loxocephallus-paramecium,20-22-24
Leary and Petchey 2009,community-28,intrinsic growth rate,temperature,0.9983363198456501,1.0625422958576811,0,0.19672581412513368,-3.34754697145969e-5,-0.4013650996974168,0.8574130213498914,1.6707496116390776e-4,0.02543184078244161,loxocephallus-paramecium,20-22-24
Leary and Petchey 2009,community-29,carrying capacity,temperature,-0.6717105535849622,1.025315416885786,0.16299361573800483,0.373976630336619,7.833572158733172e-6,0.25758811128371173,0.6457565576610432,1.6729021677664056e-4,0.01808424924195406,loxocephallus-tetrahymena,20-22-24
Leary and Petchey 2009,community-29,intrinsic growth rate,temperature,0.9335934951532222,1.0951495564724967,0.25132501183091865,0.373976630336619,7.833572158733172e-6,0.25758811128371173,0.6457565576610432,1.6729021677664056e-4,0.01808424924195406,loxocephallus-tetrahymena,20-22-24
Leary and Petchey 2009,community-3,carrying capacity,temperature,0.5238385871929372,1.0550047464693777,0.021193388960087003,0.4497677562273621,-4.3970257507782344e-5,-0.6531012264425847,0.5091195330533834,0.00443114801289969,0.07326338419739366,colpidium-tetrahymena,18-20-22
